question_group,generic_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],Satisfied,Neutral,Very Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
,"Including yourself, how many persons in your household are in each of the following age groups? [55-64 years:]",2.0,1.0,0.0,,,,,,,
,Which of the following best describes your race/ethnicity? [Prefer not to say],,,,,,,,,,
streets infrastructuremobility,Streets and Infrastructure/Mobility. Please rate the City's performance in the following areas. [. Maintenance and repair of streets in your neighborhood],Excellent,Poor,Fair,Good,Don't know,,,,,
,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]",No,Yes,,,,,,,,
,Please rate your overall satisfaction with major categories of services provided by the City of [city name]. [. Overall quality of city parks and recreation programs and facilities],Satisfied,Very Satisfied,Don't Know,Neutral,Dissatisfied,Very Dissatisfied,,,,
,Please rate your level of agreement with the following statements. [. I am pleased with the overall direction that the City of [city name] is taking],Agree,Neutral,Disagree,Strongly Disagree,Don't Know,Strongly Agree,,,,
,How many years have you lived in [city name]?,14.0,3.0,20.0,30.0,27.0,15.0,31.0,24.0,40.0,6.0
,Why were you dissatisfied?,I believe the charge for water and storm sewer taxes are excessive. ,"People should not be charged such high prices for water, and this applies to JCW as well.  Shame on you. ","Water Pressure, I am sure this is a personal preference. But honestly feel the pressure should be around 55-60 psi.
I haven't checked mine in sometime but would guess on a good day it is only around 40-45 psi",Water is very expensive.  At least the city discontinued required back flow valve testing every year.,Does not taste okay unless I filter it,Too many taxes and fees added to basic water cost. ,Could always save money. ,"If there are in fact quality issues with the water, I’m not aware of them",it costs a fortune between water and sewer,Cost is too high
city maintenance,City Maintenance. Please rate your satisfaction with each of the following city maintenance items. [. Maintenance of City streets],Dissatisfied,Satisfied,Very Satisfied,Neutral,Very Dissatisfied,Don't Know,,,,
,Please rate [city name] with regard to each of the following. [. As a place to work],Good,Excellent,Don't Know,Below Average,Neutral,Poor,,,,
,Which of the following best describes your race/ethnicity? [Black or African American],No,Yes,,,,,,,,
